0l6Sjn6B, 13.08.2022 16:00, Manchester City, Bournemouth, 2, Finished, 4, 0, 1
2gOu0jqP, 13.08.2022 16:00, Arsenal, Leicester, 2, Finished, 4, 2, 1
4IG4qqsl, 06.08.2022 16:00, Bournemouth, Aston Villa, 1, Finished, 2, 0, 1
040734YJ, 07.08.2022 15:00, Manchester Utd, Brighton, 1, Finished, 1, 2, 2
AaDFglMh, 13.08.2022 16:00, Brighton, Newcastle, 2, Finished, 0, 0, X
CrKCsNB0, 07.08.2022 15:00, Leicester, Brentford, 1, Finished, 2, 2, X
EiAWk6LH, 14.08.2022 15:00, Nottingham, West Ham, 2, Finished, 1, 0, 1
MgRapPRs, 06.08.2022 13:30, Fulham, Liverpool, 1, Finished, 2, 2, X
QZqX1icF, 05.08.2022 21:00, Crystal Palace, Arsenal, 1, Finished, 0, 2, 2
Sz8Kh8ya, 14.08.2022 17:30, Chelsea, Tottenham, 2, Finished, 2, 2, X
W8EBfU6n, 13.08.2022 18:30, Brentford, Manchester Utd, 2, Finished, 4, 0, 1
Yc8Lu1tD, 06.08.2022 16:00, Tottenham, Southampton, 1, Finished, 4, 1, 1
dGaykQzO, 13.08.2022 16:00, Southampton, Leeds, 2, Finished, 2, 2, X
jZIGtsR6, 06.08.2022 16:00, Newcastle, Nottingham, 1, Finished, 2, 0, 1
n1CPvLeJ, 06.08.2022 18:30, Everton, Chelsea, 1, Finished, 0, 1, 2
r9F8r3df, 06.08.2022 16:00, Leeds, Wolves, 1, Finished, 2, 1, 1
veaB2OmQ, 07.08.2022 17:30, West Ham, Manchester City, 1, Finished, 0, 2, 2
xnF7eAit, 13.08.2022 13:30, Aston Villa, Everton, 2, Finished, 2, 1, 1
z7bulpjU, 13.08.2022 16:00, Wolves, Fulham, 2, Finished, 0, 0, X
0A5TxlI9, 08.04.2023 16:00, Fulham, West Ham, 30, Scheduled, 0, 0, X
0Eeufnh8, 25.02.2023 17:00, Bournemouth, Manchester City, 25, Scheduled, 0, 0, X
0KQNHUSH, 30.10.2022 16:00, Liverpool, Leeds, 14, Scheduled, 0, 0, X
0MwMiyAl, 31.12.2022 17:00, Newcastle, Leeds, 18, Scheduled, 0, 0, X
0O0Bxjnf, 10.09.2022 16:00, Leicester, Aston Villa, 7, Scheduled, 0, 0, X
0ULKbz4k, 28.08.2022 17:30, Nottingham, Tottenham, 4, Scheduled, 0, 0, X
0W0yLUEE, 20.05.2023 16:00, Brighton, Southampton, 37, Scheduled, 0, 0, X
0Yidneja, 04.03.2023 17:00, Chelsea, Leeds, 26, Scheduled, 0, 0, X
0fsXr7RG, 12.11.2022 17:00, Newcastle, Chelsea, 16, Scheduled, 0, 0, X
0t2bU7CN, 05.11.2022 17:00, Tottenham, Liverpool, 15, Scheduled, 0, 0, X
2N32bnR3, 26.12.2022 17:00, Brentford, Tottenham, 17, Scheduled, 0, 0, X
2P09grNo, 01.10.2022 16:00, Bournemouth, Brentford, 9, Scheduled, 0, 0, X
2TdgWEPK, 04.09.2022 15:00, Brighton, Leicester, 6, Scheduled, 0, 0, X
2ZT2NNzD, 28.05.2023 17:00, Manchester Utd, Fulham, 38, Scheduled, 0, 0, X
2iNthVos, 17.09.2022 16:00, Brighton, Crystal Palace, 8, Scheduled, 0, 0, X
2kC33JjA, 08.10.2022 16:00, Chelsea, Wolves, 10, Scheduled, 0, 0, X
2mmgX9S4, 05.11.2022 17:00, Manchester City, Fulham, 15, Scheduled, 0, 0, X
2qD5Cl9S, 04.02.2023 17:00, Newcastle, West Ham, 22, Scheduled, 0, 0, X
2qJCVjhg, 21.01.2023 17:00, Fulham, Tottenham, 21, Scheduled, 0, 0, X
2qcsGBh6, 14.01.2023 17:00, Newcastle, Fulham, 20, Scheduled, 0, 0, X
2qyC0WhJ, 02.01.2023 17:00, Southampton, Nottingham, 19, Scheduled, 0, 0, X
2u5fQAY3, 01.04.2023 16:00, Brighton, Brentford, 29, Scheduled, 0, 0, X
2uNgejZT, 11.03.2023 17:00, Tottenham, Nottingham, 27, Scheduled, 0, 0, X
2uqPAVYG, 18.03.2023 17:00, Liverpool, Fulham, 28, Scheduled, 0, 0, X
2yR9IJWf, 08.04.2023 16:00, Manchester Utd, Everton, 30, Scheduled, 0, 0, X
2yV65kFR, 13.05.2023 16:00, Crystal Palace, Bournemouth, 36, Scheduled, 0, 0, X
04xUPC2l, 04.09.2022 17:30, Manchester Utd, Arsenal, 6, Scheduled, 0, 0, X
4EbobwXK, 31.12.2022 17:00, Fulham, Southampton, 18, Scheduled, 0, 0, X
4Ezwlg9D, 31.12.2022 17:00, Wolves, Manchester Utd, 18, Scheduled, 0, 0, X
4Gcc50we, 19.10.2022 20:30, Newcastle, Everton, 12, Scheduled, 0, 0, X
4IYYIbjc, 16.10.2022 15:00, Aston Villa, Chelsea, 11, Scheduled, 0, 0, X
4UGpHCfc, 04.02.2023 17:00, Brentford, Southampton, 22, Scheduled, 0, 0, X
4fpwmb6T, 02.10.2022 15:00, Manchester City, Manchester Utd, 9, Scheduled, 0, 0, X
4hFAE4G8, 20.10.2022 21:15, Arsenal, Manchester City, 12, Scheduled, 0, 0, X
4haX78Hq, 04.02.2023 17:00, Nottingham, Leeds, 22, Scheduled, 0, 0, X
4lFfPFVJ, 14.01.2023 17:00, Aston Villa, Leeds, 20, Scheduled, 0, 0, X
