0GrhAeCD, 05.12.2023 21:45, Fulham, Nottingham, 15, Scheduled, 0, 0, X
0IqQFpQo, 16.09.2023 16:00, Manchester Utd, Brighton, 5, Scheduled, 0, 0, X
0U9QvMZf, 02.03.2024 17:00, Brentford, Chelsea, 27, Scheduled, 0, 0, X
0YaxdK9g, 13.01.2024 17:00, Newcastle, Manchester City, 21, Scheduled, 0, 0, X
0YyO6M5L, 25.11.2023 17:00, Nottingham, Brighton, 13, Scheduled, 0, 0, X
0d8k37tt, 02.09.2023 16:00, Chelsea, Nottingham, 4, Scheduled, 0, 0, X
0p2OVcFU, 27.04.2024 16:00, Fulham, Crystal Palace, 35, Scheduled, 0, 0, X
0ppSbhkf, 27.08.2023 15:00, Sheffield Utd, Manchester City, 3, Scheduled, 0, 0, X
0rXec4P9, 11.05.2024 16:00, Tottenham, Burnley, 37, Scheduled, 0, 0, X
0rgRCqPd, 19.05.2024 17:00, Chelsea, Bournemouth, 38, Scheduled, 0, 0, X
0tAvvXVH, 04.11.2023 17:00, Burnley, Crystal Palace, 11, Scheduled, 0, 0, X
0tW9gCV4, 04.11.2023 17:00, Sheffield Utd, Wolves, 11, Scheduled, 0, 0, X
0xCBRsPc, 23.09.2023 16:00, Crystal Palace, Fulham, 6, Scheduled, 0, 0, X
0xKSMYeJ, 09.12.2023 17:00, Everton, Chelsea, 16, Scheduled, 0, 0, X
0xdMYjCS, 26.12.2023 17:00, Bournemouth, Fulham, 19, Scheduled, 0, 0, X
2HO9zSa6, 09.03.2024 17:00, Arsenal, Brentford, 28, Scheduled, 0, 0, X
2L4yWHXt, 21.10.2023 16:00, Newcastle, Crystal Palace, 9, Scheduled, 0, 0, X
2LMzZvkE, 05.12.2023 21:45, Luton, Arsenal, 15, Scheduled, 0, 0, X
2XUyegsj, 02.04.2024 20:45, Brentford, Brighton, 31, Scheduled, 0, 0, X
2XnybGbN, 11.05.2024 16:00, Bournemouth, Brentford, 37, Scheduled, 0, 0, X
2gtNqWxK, 02.03.2024 17:00, Manchester City, Manchester Utd, 27, Scheduled, 0, 0, X
2m5wFPdk, 07.10.2023 16:00, Brighton, Liverpool, 8, Scheduled, 0, 0, X
4AtrLXsT, 23.12.2023 17:00, Crystal Palace, Brighton, 18, Scheduled, 0, 0, X
4EGVug15, 28.10.2023 16:00, Wolves, Newcastle, 10, Scheduled, 0, 0, X
4IjJ0EKs, 26.08.2023 16:00, Manchester Utd, Nottingham, 3, Scheduled, 0, 0, X
4UGJPkUj, 17.02.2024 17:00, Fulham, Aston Villa, 25, Scheduled, 0, 0, X
4bSYk10n, 27.04.2024 16:00, Newcastle, Sheffield Utd, 35, Scheduled, 0, 0, X
4dFzGfJF, 03.04.2024 20:45, Newcastle, Everton, 31, Scheduled, 0, 0, X
4hNjOTZ2, 30.09.2023 16:00, Newcastle, Burnley, 7, Scheduled, 0, 0, X
4lXv7Va4, 11.11.2023 17:00, Manchester Utd, Luton, 12, Scheduled, 0, 0, X
4nhLn1Ek, 25.11.2023 17:00, Burnley, West Ham, 13, Scheduled, 0, 0, X
4rz21e4M, 30.03.2024 17:00, Tottenham, Luton, 30, Scheduled, 0, 0, X
4tNxPIwt, 03.02.2024 17:00, Burnley, Fulham, 23, Scheduled, 0, 0, X
6Jl5PXGO, 28.10.2023 16:00, Brighton, Fulham, 10, Scheduled, 0, 0, X
6NOhpgz1, 26.08.2023 16:00, Arsenal, Fulham, 3, Scheduled, 0, 0, X
6aMJDzIC, 21.10.2023 16:00, Brentford, Burnley, 9, Scheduled, 0, 0, X
6km0uBnR, 13.04.2024 16:00, Newcastle, Tottenham, 33, Scheduled, 0, 0, X
6m8qJGy2, 12.08.2023 16:00, Everton, Fulham, 1, Scheduled, 0, 0, X
6wDnxB0U, 04.11.2023 17:00, Fulham, Manchester Utd, 11, Scheduled, 0, 0, X
6yjcidOO, 30.01.2024 21:45, Nottingham, Arsenal, 22, Scheduled, 0, 0, X
08YkSrjk, 24.02.2024 17:00, Bournemouth, Manchester City, 26, Scheduled, 0, 0, X
